未来盒子2.0使用情况,,,,
GPIO2,Grove,接口3,,
GPIO1,Grove,接口3,,
GPIO3,Grove,接口6,,
GPIO4,Grove,接口6,,
GPIO5,Grove,接口1,,
GPIO6,Grove,接口1,,
GPIO7,Grove,接口4,,
GPIO8,Grove,接口4,,
GPIO9,PS2_CMD,PS2专属接口,,
GPIO10,PS2_DATA,PS2专属接口,,
GPIO41,PS2_CLK,PS2专属接口,,
GPIO42,PS3_CS,PS2专属接口,,
GPIO11,Motor,前左,,
GPIO12,Motor,前左,,
GPIO13,Motor,前右,,
GPIO14,Motor,前右,,
GPIO15,Motor,后左,,
GPIO16,Motor,后左,,
GPIO17,Motor,后右,,
GPIO18,Motor,后右,,
GPIO19,USB2.0,USB烧录,,
GPIO20,USB2.0,USB烧录,,
GPIO21,Key,按键A,,
GPIO0,Key,按键B-BOOT,,
GPIO47,舵机,S1,,
GPIO48,舵机,S2,,
GPIO26,BUZZER,BUZ1,,
GPIO27,Flash,8M,,
GPIO28,Flash,8M,,
GPIO29,Flash,8M,,
GPIO30,Flash,8M,,
GPIO31,Flash,8M,,
GPIO32,Flash,8M,,
GPIO33,LED,第1行,,
GPIO34,LED,第2行,,
GPIO35,LED,第3行,,
GPIO36,LED,第1列,,
GPIO37,LED,第2列,,
GPIO38,LED,第3列,,
GPIO39,I2C,SDA,,
GPIO40,I2C,SCL,,
GPIO43,Uart0,串口TX,,
GPIO44,Uart0,串口RX,,
GPIO45,排针引出引脚,启动模式选择,,
GPIO46,排针引出引脚,启动模式选择,,
